"X60410","X60430","X60434","X60512","X61104","X61402","X61502","X61603","X62601","X63001","X65001","X65101","year","month","day"
1.526,1.368,1.421,1.895,1.684,1.316,1.316,1.368,1.526,1.263,1.737,1.684,2009,2,28
3.947,3.842,3.474,2.789,4.053,4,4.053,3.105,3.579,3.421,5.211,4.053,2009,3,1
2.263,1.684,1.579,1.579,2.211,1.368,1.474,1.158,1.474,1.421,1.632,1.526,2009,3,2
2.579,2.211,2.053,2.158,3.684,2.684,2.895,1.474,2.421,2.105,2.474,1.684,2009,3,3
5.368,5.474,5.105,6.316,5.421,6.842,7.105,4.526,5.211,6.789,5.263,4.474,2009,3,4
9.368,11.789,9.895,11.579,11.316,9.632,9.684,8.526,8.053,9.632,10.789,9.947,2009,3,5
12.526,11.895,10.737,10.368,13.105,12,12.947,10.211,13.684,11.263,13.211,13.158,2009,3,6
14.053,15.789,14.421,14.579,11.632,12.053,12.421,13.632,10.158,13.842,14.474,12.737,2009,3,7
7.526,7.579,6.789,8.053,6.211,7.947,8.895,6.737,6.842,7.105,9,9,2009,3,8
4.895,4.947,3.842,4,4,4.316,4.053,3.789,3.474,3.895,4.316,4.053,2009,3,9
4.105,5.421,4.737,10.316,4.316,7.421,8,6.105,6.263,5.421,6.421,5.421,2009,3,10
3.895,4.579,3.421,3.895,5.597,4.158,3.316,3.579,4.211,4.632,3.211,3.895,2009,3,11
3.316,3.158,2.421,2.684,4.263,3.053,3.053,2.632,3.316,2.895,2.105,2.263,2009,3,12
3.105,3.789,4,6,4.263,4.474,3.211,4.158,3.211,3.947,4.474,3.474,2009,3,13
8.053,8.316,6.368,5.105,9.158,4.947,6.158,6.211,5.105,5.842,7.316,6.789,2009,3,14
12.632,11,10.684,17.895,11.053,8.632,10.368,9.789,7.421,14.789,12.316,6.737,2009,3,15
10.579,11,10.316,18.842,11.842,10,10.684,9.526,11.105,10.895,12.842,8.947,2009,3,16
13.789,13.421,14.105,14.263,12.368,11.105,12.842,13.105,10.895,13.895,14.211,11.579,2009,3,17
8.895,9.579,10.421,11.105,10,8.737,8.632,9.158,9.947,9.684,7.421,7.474,2009,3,18
3.105,3,3.263,4.632,5.263,3.211,4.316,2.789,2.263,2.684,2.895,2.895,2009,3,19
3.632,3.789,4,6.105,3.842,2,2.579,4.105,3.053,3.316,3.947,2.368,2009,3,20
5,7.947,9.421,6.211,6.263,5.316,4.789,5.368,4.895,3.526,5.421,5.579,2009,3,21
3.947,3.737,6.105,7.105,3.632,7.158,7.316,4.474,6.737,5.316,3.526,3.632,2009,3,22
2.105,2.421,4.421,5.474,2.895,1.158,0.632,2.316,1.579,1.895,2.632,1.105,2009,3,23
1.368,2.684,2.895,4.842,4.474,3,2.632,1.789,2.316,1.579,3.053,1.684,2009,3,24
3.684,4.789,4.789,10.579,6.421,6.158,6.421,4.895,5.684,3.526,5.211,4.211,2009,3,25
10.105,11.053,9.368,12.263,10.947,7.684,7.053,8.842,8.368,6.526,12.632,11.421,2009,3,26
7.789,8.105,10.158,11.947,6.158,4.632,5.474,9,4.421,9.684,8.158,5.789,2009,3,27
4.842,4.737,6,11.368,8.368,7,7.211,4.895,7.474,4.789,2.842,3.579,2009,3,28
1.947,3,3.737,3.368,2.789,3.842,3.579,2.947,2.947,2.789,3,2.421,2009,3,29
2.053,2.263,2.895,2.947,3.737,1.842,1.737,2,1.526,2.895,1.895,2.053,2009,3,30
1.895,0.909,2.579,4.053,2.421,3.789,2.632,3.053,3.053,2.474,3.316,1.947,2009,3,31
3.947,5,4.684,5.368,5.158,4.211,4.474,4,4.474,4.368,5.737,5.474,2009,4,1
4.316,5.316,6.474,8.474,6.211,3.789,4,5.842,2.526,6.368,7.526,5.158,2009,4,2
2.474,3.579,2.737,4.053,5.333,1.947,6.125,1.895,2.947,2.316,2.684,5.625,2009,4,3
1.474,1.526,2.421,2.316,1.526,1.211,1.471,1.632,1.947,2.263,2.091,1.312,2009,4,4
2,1.842,2.316,2.789,3.316,1.737,1.105,1.895,1,2,2.053,1.737,2009,4,5
0.333,0.632,0.789,0.526,0.158,0.471,1.2,0.562,0.316,0.526,1,1.928,2009,4,6
1.571,1.684,1.368,1.368,1,1.286,1.053,1.067,0.842,1.474,1.6,1,2009,4,7
1.842,2.895,2.421,2.368,2.579,3.263,1.474,1.579,2.053,2.368,2.105,1.316,2009,4,8
4.632,5.158,4.421,4.316,5.895,5.684,3.579,3.789,4.947,4.526,4.526,3.474,2009,4,9
5.526,4.684,5.474,7.789,3.947,4.316,3.842,5.158,5.105,5.211,3.474,3.632,2009,4,10
3.158,2.895,2.684,2.842,2.789,1.263,2.158,2.316,1.632,2.579,3.526,1.737,2009,4,11
3.316,2.947,2.684,2.526,2.737,2.737,3.211,2.263,2.579,3.211,2.421,1.789,2009,4,12
4.737,4.316,3.737,5.368,3.947,2.316,3.474,3.053,3.526,3.421,4.737,3.579,2009,4,13
4,4.053,4.053,5.684,4.211,3.368,3,3.789,4,3.737,3.895,3.105,2009,4,14
4.526,4.947,5.474,5.632,5.211,3.105,4.737,3.947,3.105,3.789,5.263,3.579,2009,4,15
7.947,7.632,7.053,11.263,5.737,7.158,5.895,6.053,5.789,7.316,6.526,4.684,2009,4,16
5.421,4.579,5.211,6.474,5.474,6.263,5.158,4.579,6.263,7.053,5.368,4,2009,4,17
12.316,10.526,11.474,11.053,7.526,10.789,8.316,9.579,9,10.053,9.158,9.526,2009,4,18
1.947,1.842,1.947,2.895,1.526,2.263,1.842,1.316,0.789,1.368,2.316,1.737,2009,4,19
3.842,3.947,3.684,7.316,3.579,4.474,4.474,3.947,4.895,3.579,3.316,4,2009,4,20
4.737,4.421,4.474,4.947,3.737,4,3.737,4.789,3.158,6.263,6.211,6,2009,4,21
2.211,2.158,1.737,1.632,2.421,1.947,1.211,1.263,2.105,1.526,2.368,1.211,2009,4,22
3.684,3.474,2.632,2.526,1.789,2.474,1.421,2.684,3.105,2.474,2.842,2.842,2009,4,23
5.421,6.684,5.579,15.263,5.105,7.579,8.421,6.263,7.842,4,8.211,8.105,2009,4,24
11.789,11,10.684,8.579,11.158,10.895,8.421,10.368,10.263,10.632,11.053,10.053,2009,4,25
2.789,3.158,2.263,3.579,1.895,5.474,3.947,2.316,7.421,2.421,0.789,3.158,2009,4,26
7.632,6.947,6.842,8.579,8.789,8.737,7.579,6.632,8.368,5.789,10.263,8.053,2009,4,27
3.526,3.474,3.316,3.895,2.263,3.895,3.267,3.421,4.632,4.737,1,1.053,2009,4,28
2.895,3.105,2.316,5.053,3,2.158,0.8,2.316,2.789,2.211,4.211,2.632,2009,4,29
5.526,6.053,5.684,12.316,5.947,7.632,7.895,5.737,6.737,5.526,6.053,6.263,2009,4,30
5.947,5.526,5.526,4.421,5.053,5.211,3.105,4.842,6.211,5.526,4.684,4,2009,5,1
5.316,5.474,4.474,4.737,3.947,3.789,3.316,4.105,3.895,5.368,5.842,4,2009,5,2
8.947,7.947,8.105,7.105,7.053,7.684,7.737,7.895,7.632,8.842,8.737,7.842,2009,5,3
5.316,6.263,6,8.421,4.579,6.684,3.789,5.789,7.737,6.684,6.158,4.737,2009,5,4
7.947,7,6,8.526,6.368,5.947,5.211,5.737,6.053,6.842,7.684,7.053,2009,5,5
9.263,10.263,9,17.053,6.368,10.579,9.263,8.579,10.526,7.789,10.263,9.684,2009,5,6
9.211,9,8.526,7.842,7.158,10.368,9.789,7.737,10.053,9.053,12.421,8.947,2009,5,7
13.316,13.474,11.158,8.474,12.842,9.158,11.158,10.842,8.105,10.105,14.421,13.368,2009,5,8
8.263,10.474,8.263,7.895,4.789,6.526,3,7.053,6.895,7.158,6.316,5.368,2009,5,9
2.474,2.421,1.947,1.526,1.579,1.316,0.947,2,1.368,2.316,1.947,1.526,2009,5,10
3.947,4.105,2.421,4.684,2.684,3.263,2.421,2.526,3.737,3.474,3.526,2.632,2009,5,11
3.842,4.684,4.316,4.789,4,4.947,2.632,3.632,4.526,4.526,5.105,4.263,2009,5,12
6.895,9.158,7.526,9.857,6.316,9.368,8.684,7.263,9.263,7.474,10.579,7.632,2009,5,13
9.053,9.211,8.316,14.333,10.316,7.842,7.474,6.947,7.526,8.684,9.105,9.316,2009,5,14
2.842,2.579,3.3,6.632,1.211,3.316,4.053,1.632,3.105,3.429,2.684,2,2009,5,15
5.737,5.263,4.5,4.947,5.421,5.053,6.526,4.474,6.105,4.118,3.895,5.158,2009,5,16
0.947,1.105,0.684,1.895,1.526,0.684,2,0.737,0.947,0.947,1.474,0.842,2009,5,17
3.526,4.421,3.368,3.737,2.053,3.947,3.789,2.895,2.842,3.684,3.158,2.316,2009,5,18
6.158,5.737,5.211,5.368,5.947,7.105,5.947,4.737,4.158,5,6.158,6.263,2009,5,19
12.895,11.842,10.474,10.158,10.158,13.947,11.737,10.211,10.105,10.684,13.368,11.25,2009,5,20
16.263,15.263,13.316,13,13.895,16,13.842,12.263,13.421,13.421,15.579,13.211,2009,5,21
5.684,5.737,5.684,9.158,6.737,4.737,4.421,5.316,6.737,7.053,4.053,4.474,2009,5,22
3.632,4.316,3.579,7.947,3.526,5.895,6.158,4.368,7.421,4.105,5.789,4.789,2009,5,23
4.842,4.842,6.368,10,4.263,10.211,7,5.526,10.211,5.895,3.158,4.263,2009,5,24
