"year","month","day","hour","tempf","humidity","solarradiation","hourlyrainin","windspeedmph"
2020,7,20,1,70.2583333333333,97.6666666666667,0,0,0
2020,7,20,2,70.15,96.6666666666667,0,0,0.0166666666666667
2020,7,20,3,68.9916666666667,95.5833333333333,0,0,0
2020,7,20,4,68.2166666666667,94.6666666666667,0,0,0.0166666666666667
2020,7,20,5,67.5083333333333,93.5833333333333,0,0,0.0333333333333333
2020,7,20,6,66.675,91.9166666666667,0,0,0
2020,7,20,7,66.2833333333333,90.6666666666667,2.21166666666667,0,0
2020,7,20,8,67.35,88.75,23.5258333333333,0,0
2020,7,20,9,70.175,84.25,67.8033333333333,0,0.0166666666666667
2020,7,20,10,73.4916666666667,80.25,147.26,0,0
2020,7,20,11,77.6333333333333,71.9166666666667,263.1225,0,0.0583333333333333
2020,7,20,12,82.2166666666667,63.75,622.405,0,0.108333333333333
2020,7,20,13,84.5583333333333,58.8333333333333,829.549166666667,0,0.316666666666667
2020,7,20,14,85.5416666666667,55.1666666666667,745.5025,0,0.383333333333333
2020,7,20,15,85.5833333333333,51.0833333333333,821.545833333333,0,0.333333333333333
2020,7,20,16,84.3833333333333,51.6666666666667,279.883333333333,0,0.45
2020,7,20,17,84.05,51.5833333333333,149.858333333333,0,0.166666666666667
2020,7,20,18,82.45,49.1666666666667,109.264166666667,0,0.5
2020,7,20,19,80.125,57.1666666666667,93.1258333333333,0,0.133333333333333
2020,7,20,20,78.575,57.6666666666667,53.1233333333333,0,0.0166666666666667
2020,7,20,21,74.7833333333333,67.0833333333333,10.0291666666667,0,0
2020,7,20,22,72.125,77.6666666666667,0,0,0
2020,7,20,23,71.6333333333333,79.8333333333333,0,0,0
2020,7,20,24,71.1166666666667,77.75,0,0,0
2020,7,21,1,70.6,79,0,0,0
2020,7,21,2,70.0166666666667,80.25,0,0,0
2020,7,21,3,69.3166666666667,80.6666666666667,0,0,0
2020,7,21,4,67.1333333333333,84.9166666666667,0,0,0
2020,7,21,5,65.5916666666667,87.8333333333333,0,0,0
2020,7,21,6,64.85,89.9166666666667,0,0,0
2020,7,21,7,64.775,90.25,1.935,0,0
2020,7,21,8,66.8916666666667,85.5833333333333,23.3541666666667,0,0
2020,7,21,9,69.65,80.5,87.815,0,0.133333333333333
2020,7,21,10,72.9583333333333,76.4166666666667,156.333333333333,0,0.15
2020,7,21,11,75.65,72.1666666666667,248.533333333333,0,0.0166666666666667
2020,7,21,12,80.1666666666667,63.5833333333333,564.11,0,0.225
2020,7,21,13,82.5583333333333,63.4166666666667,573.029166666667,0,0.125
2020,7,21,14,84.35,63,643.771666666667,0,0.591666666666667
2020,7,21,15,79.6833333333333,71.75,154.05,0,0.275
2020,7,21,16,77.925,78.3333333333333,139.9625,0.0118333333333333,0.225
2020,7,21,17,76.175,77.0833333333333,129.623333333333,0,0.283333333333333
2020,7,21,18,78.475,70.1666666666667,157.800833333333,0,0.258333333333333
2020,7,21,19,80.05,68.25,61.1466666666667,0,0.0583333333333333
2020,7,21,20,77.9166666666667,76.5833333333333,30.725,0,0.0166666666666667
2020,7,21,21,76.175,81.1666666666667,8.06,0,0
2020,7,21,22,74.5583333333333,86.4166666666667,0.03,0,0
2020,7,21,23,73.6,91.0833333333333,0,0,0
2020,7,21,24,72.2083333333333,93.3333333333333,0,0,0.0166666666666667
2020,7,22,1,71.5166666666667,93.75,0,0,0
2020,7,22,2,71.3666666666667,94,0,0,0
2020,7,22,3,71.0083333333333,94.3333333333333,0,0,0
2020,7,22,4,70.4833333333333,95.75,0,0,0
2020,7,22,5,70.2833333333333,96.6666666666667,0,0,0
2020,7,22,6,70.6833333333333,95.1666666666667,0,0,0.0583333333333333
2020,7,22,7,70.55,94.0833333333333,1.92583333333333,0,0.116666666666667
2020,7,22,8,71.0416666666667,93.0833333333333,31.805,0,0.0166666666666667
2020,7,22,9,72.0583333333333,90.3333333333333,80.8416666666667,0,0.441666666666667
2020,7,22,10,72.9333333333333,88.4166666666667,65.6608333333333,0,0.241666666666667
2020,7,22,11,74.7583333333333,84.5833333333333,183.369166666667,0,0.258333333333333
2020,7,22,12,76.0666666666667,82.6666666666667,167.140833333333,0,0.141666666666667
2020,7,22,13,78.1083333333333,79.0833333333333,254.813333333333,0,0.366666666666667
2020,7,22,14,79.375,80.0833333333333,586.090833333333,0,0.416666666666667
2020,7,22,15,84.6166666666667,68.4166666666667,818.406666666667,0,0.591666666666667
2020,7,22,16,85.6833333333333,66.3333333333333,299.549166666667,0,0.483333333333333
2020,7,22,17,84.2666666666667,68.5,151.674166666667,0,0.158333333333333
2020,7,22,18,84.2083333333333,68.25,113.279166666667,0,0.166666666666667
2020,7,22,19,84.575,64.5,75.9366666666667,0,0.233333333333333
2020,7,22,20,82.5083333333333,69.3333333333333,34.5983333333333,0,0
2020,7,22,21,80.0083333333333,74.5833333333333,13.0258333333333,0,0
2020,7,22,22,77.325,81.0833333333333,0.570833333333333,0,0
2020,7,22,23,75.05,86.5833333333333,0,0,0
2020,7,22,24,74.7166666666667,88.25,0,0,0
2020,7,23,1,74.1583333333333,89.9166666666667,0,0,0
2020,7,23,2,72.1583333333333,94.5833333333333,0,0,0
2020,7,23,3,71.8333333333333,95.8333333333333,0,0,0
2020,7,23,4,71.25,96.3333333333333,0,0,0
2020,7,23,5,70.575,96.9166666666667,0,0,0
2020,7,23,6,69.475,97,0,0,0.0166666666666667
2020,7,23,7,67.9833333333333,97.3333333333333,1.67083333333333,0,0
2020,7,23,8,68.15,97.6666666666667,22.0483333333333,0,0.0583333333333333
2020,7,23,9,70.8166666666667,93.0833333333333,73.4316666666667,0,0.108333333333333
2020,7,23,10,75.325,84.75,138.0125,0,0.075
2020,7,23,11,77.775,78.8333333333333,226.29,0,0.158333333333333
2020,7,23,12,83.1,65.1666666666667,700.025833333333,0,0.625
2020,7,23,13,84.475,62,578.8025,0,0.466666666666667
2020,7,23,14,83.675,64.4166666666667,582.339166666667,0,0.908333333333333
2020,7,23,15,86.2166666666667,61.5,816.029166666667,0,0.866666666666667
2020,7,23,16,84.3583333333333,62.75,445.465,0,0.766666666666667
2020,7,23,17,82.5583333333333,65,133.516666666667,0,0.616666666666667
2020,7,23,18,81.1333333333333,66.1666666666667,84.5833333333333,0,0.791666666666667
2020,7,23,19,79.4083333333333,67.4166666666667,55.7525,0,0.525
2020,7,23,20,78.2,69.6666666666667,37.3508333333333,0,0.441666666666667
2020,7,23,21,75.0666666666667,74.3333333333333,17.125,0,0.108333333333333
2020,7,23,22,72.5166666666667,79.8333333333333,0.458333333333333,0,0
2020,7,23,23,71.1416666666667,82.25,0,0,0
2020,7,23,24,70.5833333333333,85.4166666666667,0,0,0
2020,7,24,1,69.6833333333333,87.25,0,0,0
